Timestamp,Ticker,Action,Price,Volume
2026-01-01 09:30:00,AAPL,Sell,189.14,4645
2026-01-01 09:30:01,TSLA,Buy,249.82,1317
2026-01-01 09:30:02,MSFT,Buy,419.82,45398
2026-01-01 09:30:03,MSFT,Buy,419.77,3862
2026-01-01 09:30:04,MSFT,Buy,420.08,4471
2026-01-01 09:30:05,TSLA,Buy,249.86,2765
2026-01-01 09:30:06,MSFT,Buy,420.14,19375
2026-01-01 09:30:07,TSLA,Sell,249.83,2215
2026-01-01 09:30:08,TSLA,Buy,249.82,802
2026-01-01 09:30:09,TSLA,Buy,249.65,1219
2026-01-01 09:30:10,GOOGL,Buy,174.79,2138
2026-01-01 09:30:11,AAPL,Buy,188.81,1526
2026-01-01 09:30:12,MSFT,Sell,420.08,829
2026-01-01 09:30:13,GOOGL,Buy,174.64,4778
2026-01-01 09:30:14,TSLA,Sell,249.54,967
2026-01-01 09:30:15,MSFT,Buy,419.97,24541
2026-01-01 09:30:16,GOOGL,Buy,174.68,3533
2026-01-01 09:30:17,GOOGL,Buy,174.58,3257
2026-01-01 09:30:18,GOOGL,Sell,174.47,4450
2026-01-01 09:30:19,TSLA,Sell,249.56,4142
2026-01-01 09:30:20,TSLA,Sell,249.46,4992
2026-01-01 09:30:21,GOOGL,Buy,174.48,476
2026-01-01 09:30:22,TSLA,Sell,249.64,680
2026-01-01 09:30:23,MSFT,Buy,419.91,466
2026-01-01 09:30:24,TSLA,Buy,249.56,2718
2026-01-01 09:30:25,AAPL,Sell,189.02,46837
2026-01-01 09:30:26,GOOGL,Sell,174.65,971
2026-01-01 09:30:27,GOOGL,Sell,174.57,797
2026-01-01 09:30:28,TSLA,Buy,249.68,2760
2026-01-01 09:30:29,MSFT,Sell,419.79,2635
2026-01-01 09:30:30,TSLA,Sell,249.67,4934
2026-01-01 09:30:31,AAPL,Sell,188.82,1623
2026-01-01 09:30:32,GOOGL,Buy,174.31,2656
2026-01-01 09:30:33,MSFT,Buy,419.65,2739
2026-01-01 09:30:34,GOOGL,Sell,174.4,1909
2026-01-01 09:30:35,GOOGL,Sell,174.29,3326
2026-01-01 09:30:36,TSLA,Sell,249.58,3567
2026-01-01 09:30:37,AAPL,Buy,188.82,3238
2026-01-01 09:30:38,TSLA,Buy,249.71,1895
2026-01-01 09:30:39,TSLA,Sell,249.5,191
2026-01-01 09:30:40,AAPL,Sell,188.81,1585
2026-01-01 09:30:41,TSLA,Buy,249.45,229
2026-01-01 09:30:42,GOOGL,Sell,174.56,2048
2026-01-01 09:30:43,GOOGL,Buy,174.48,180
2026-01-01 09:30:44,TSLA,Sell,249.41,4109
2026-01-01 09:30:45,MSFT,Buy,419.55,4531
2026-01-01 09:30:46,GOOGL,Sell,174.73,4727
2026-01-01 09:30:47,GOOGL,Buy,174.66,2037
2026-01-01 09:30:48,GOOGL,Buy,174.79,1494
2026-01-01 09:30:49,AAPL,Sell,188.73,2059
2026-01-01 09:30:50,TSLA,Buy,249.31,2599
2026-01-01 09:30:51,TSLA,Sell,249.43,4998
2026-01-01 09:30:52,GOOGL,Buy,174.65,1101
2026-01-01 09:30:53,MSFT,Sell,419.73,4402
2026-01-01 09:30:54,TSLA,Sell,249.63,1957
2026-01-01 09:30:55,TSLA,Sell,249.66,1266
2026-01-01 09:30:56,TSLA,Sell,249.51,228
2026-01-01 09:30:57,TSLA,Buy,249.51,2787
2026-01-01 09:30:58,TSLA,Buy,249.75,2876
2026-01-01 09:30:59,GOOGL,Buy,174.54,3476
2026-01-01 09:31:00,TSLA,Sell,249.51,3092
2026-01-01 09:31:01,TSLA,Buy,249.6,906
2026-01-01 09:31:02,TSLA,Sell,249.81,43001
2026-01-01 09:31:03,AAPL,Sell,188.74,2121
2026-01-01 09:31:04,AAPL,Buy,188.68,525
2026-01-01 09:31:05,MSFT,Sell,419.62,2094
2026-01-01 09:31:06,TSLA,Sell,249.94,2335
2026-01-01 09:31:07,GOOGL,Sell,174.54,2845
2026-01-01 09:31:08,GOOGL,Buy,174.35,1041
2026-01-01 09:31:09,GOOGL,Buy,174.4,2879
2026-01-01 09:31:10,GOOGL,Buy,174.39,1657
2026-01-01 09:31:11,GOOGL,Buy,174.49,1306
2026-01-01 09:31:12,AAPL,Sell,188.86,2851
2026-01-01 09:31:13,GOOGL,Sell,174.41,2344
2026-01-01 09:31:14,GOOGL,Sell,174.58,931
2026-01-01 09:31:15,MSFT,Sell,419.66,1884
2026-01-01 09:31:16,TSLA,Sell,249.86,1103
2026-01-01 09:31:17,TSLA,Sell,249.9,3592
2026-01-01 09:31:18,GOOGL,Sell,174.25,1005
2026-01-01 09:31:19,AAPL,Sell,188.96,1128
2026-01-01 09:31:20,AAPL,Sell,188.79,4736
2026-01-01 09:31:21,MSFT,Sell,419.82,4692
2026-01-01 09:31:22,TSLA,Sell,249.99,1046
2026-01-01 09:31:23,GOOGL,Sell,174.39,3092
2026-01-01 09:31:24,AAPL,Buy,188.74,1458
2026-01-01 09:31:25,GOOGL,Sell,174.45,2665
2026-01-01 09:31:26,GOOGL,Buy,174.65,1957
2026-01-01 09:31:27,GOOGL,Sell,174.63,1071
2026-01-01 09:31:28,TSLA,Buy,250.2,1487
2026-01-01 09:31:29,GOOGL,Buy,174.68,3485
2026-01-01 09:31:30,AAPL,Buy,188.61,1713
